,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_scaled,area_scaled
0,13300000.0,7420.0,4,2.0,3,1,0,0,0,1,2,1,2,0.9999999999999999,0.3965635738831615
1,12250000.0,8960.0,4,4.0,4,1,0,0,0,1,3,0,2,0.9090909090909091,0.5024054982817869
2,12250000.0,9960.0,3,2.0,2,1,0,1,0,0,2,1,1,0.9090909090909091,0.5711340206185567
3,12215000.0,7500.0,4,2.0,2,1,0,1,0,1,3,1,2,0.9060606060606061,0.40206185567010305
4,11410000.0,7420.0,4,1.0,2,1,1,1,0,1,2,0,2,0.8363636363636363,0.3965635738831615
5,10850000.0,7500.0,3,3.0,1,1,0,1,0,1,2,1,1,0.7878787878787878,0.40206185567010305
6,10150000.0,8580.0,4,3.0,4,1,0,0,0,1,2,1,1,0.7272727272727273,0.47628865979381435
7,10150000.0,16200.0,5,3.0,2,1,0,0,0,0,0,0,0,0.7272727272727273,0.9999999999999998
8,9870000.0,8100.0,4,1.0,2,1,1,1,0,1,2,1,2,0.703030303030303,0.4432989690721649
9,9800000.0,5750.0,3,2.0,4,1,1,0,0,1,1,1,0,0.6969696969696969,0.281786941580756
10,9800000.0,13200.0,3,1.0,2,1,0,1,0,1,2,1,2,0.6969696969696969,0.7938144329896906
11,9681000.0,6000.0,4,3.0,2,1,1,1,1,0,2,0,1,0.6866666666666666,0.29896907216494845
12,9310000.0,6550.0,4,2.0,2,1,0,0,0,1,1,1,1,0.6545454545454545,0.3367697594501718
13,9240000.0,3500.0,4,2.0,2,1,0,0,1,0,2,0,2,0.6484848484848484,0.12714776632302405
14,9240000.0,7800.0,3,2.0,2,1,0,0,0,0,0,1,1,0.6484848484848484,0.422680412371134
15,9100000.0,6000.0,4,1.0,2,1,0,1,0,0,2,0,1,0.6363636363636364,0.29896907216494845
16,9100000.0,6600.0,4,2.0,2,1,1,1,0,1,1,1,0,0.6363636363636364,0.34020618556701027
17,8960000.0,8500.0,3,2.0,4,1,0,0,0,1,2,0,2,0.6242424242424243,0.4707903780068728
18,8890000.0,4600.0,3,2.0,2,1,1,0,0,1,2,0,2,0.6181818181818182,0.2027491408934708
19,8855000.0,6420.0,3,2.0,2,1,0,0,0,1,1,1,1,0.6151515151515151,0.32783505154639175
20,8750000.0,4320.0,3,1.0,2,1,0,1,1,0,2,0,1,0.6060606060606061,0.18350515463917527
21,8680000.0,7155.0,3,2.0,1,1,1,1,0,1,2,0,0,0.6,0.3783505154639175
23,8645000.0,4560.0,3,2.0,2,1,1,1,0,1,1,0,2,0.5969696969696969,0.2
24,8575000.0,8800.0,3,2.0,2,1,0,0,0,1,2,0,2,0.5909090909090909,0.49140893470790376
25,8540000.0,6540.0,4,2.0,2,1,1,1,0,1,2,1,2,0.5878787878787879,0.3360824742268041
26,8463000.0,6000.0,3,2.0,4,1,1,1,0,1,0,1,1,0.5812121212121212,0.29896907216494845
27,8400000.0,8875.0,3,1.0,1,1,0,0,0,0,1,0,1,0.5757575757575758,0.49656357388316147
28,8400000.0,7950.0,5,2.0,2,1,0,1,1,0,2,0,0,0.5757575757575758,0.43298969072164945
29,8400000.0,5500.0,4,2.0,2,1,0,1,0,1,1,1,1,0.5757575757575758,0.2646048109965636
30,8400000.0,7475.0,3,2.0,4,1,0,0,0,1,2,0,0,0.5757575757575758,0.4003436426116838
31,8400000.0,7000.0,3,1.0,4,1,0,0,0,1,2,0,1,0.5757575757575758,0.3676975945017182
32,8295000.0,4880.0,4,2.0,2,1,0,0,0,1,1,1,2,0.5666666666666667,0.2219931271477663
33,8190000.0,5960.0,3,3.0,2,1,1,1,0,0,1,0,0,0.5575757575757576,0.29621993127147767
35,8080940.0,7000.0,3,2.0,4,1,0,0,0,1,2,0,2,0.5481333333333334,0.3676975945017182
36,8043000.0,7482.0,3,2.0,3,1,0,0,1,0,1,1,2,0.5448484848484848,0.40082474226804116
37,7980000.0,9000.0,4,2.0,4,1,0,0,0,1,2,0,2,0.5393939393939394,0.5051546391752577
38,7962500.0,6000.0,3,1.0,4,1,1,0,0,1,2,0,0,0.5378787878787878,0.29896907216494845
39,7910000.0,6000.0,4,2.0,4,1,0,0,0,1,1,0,1,0.5333333333333333,0.29896907216494845
40,7875000.0,6550.0,3,1.0,2,1,0,1,0,1,0,1,2,0.5303030303030303,0.3367697594501718
41,7840000.0,6360.0,3,2.0,4,1,0,0,0,1,0,1,2,0.5272727272727272,0.3237113402061855
42,7700000.0,6480.0,3,2.0,4,1,0,0,0,1,2,0,0,0.5151515151515151,0.3319587628865979
43,7700000.0,6000.0,4,2.0,4,1,0,0,0,0,2,0,1,0.5151515151515151,0.29896907216494845
44,7560000.0,6000.0,4,2.0,4,1,0,0,0,1,1,0,2,0.503030303030303,0.29896907216494845
45,7560000.0,6000.0,3,2.0,3,1,0,0,0,1,0,0,1,0.503030303030303,0.29896907216494845
46,7525000.0,6000.0,3,2.0,4,1,0,0,0,1,1,0,2,0.5,0.29896907216494845
47,7490000.0,6600.0,3,1.0,4,1,0,0,0,1,3,1,2,0.49696969696969695,0.34020618556701027
48,7455000.0,4300.0,3,2.0,2,1,0,1,0,0,1,0,0,0.4939393939393939,0.18213058419243983
49,7420000.0,7440.0,3,2.0,1,1,1,1,0,1,0,1,1,0.49090909090909085,0.3979381443298969
